question,optionA,optionB,optionC,optionD,correct,explanation
"Ông Gioan Tẩy Giả mặc áo gì? (Mt 3,4)",Áo lông lạc đà.,Áo lông cừu.,Áo vải điều.,Áo lông chồn.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Thức ăn của ông Gioan Tẩy Giả là gì? (Mt 3,4)",Ăn bánh manna và chim cút.,Ăn rau rừng và mật ong.,Ăn nho dại và thịt rừng.,Châu chấu và mật ong rừng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Gioan Tẩy Giả làm phép rửa cho dân chúng ở đâu? (Mt 3,6)","Sông Nin, Ai cập.",Bờ Biển Đỏ.,Trong sông Giođan.,Biển hồ Tiberia.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"“Nòi rắn độc kia, ai đã chỉ cho các anh cách trốn cơn thịnh nộ của Thiên Chúa sắp giáng xuống vậy?” Đây là lời ông Gioan Tẩy Giả nói với ai? (Mt 3,7)",Người Pharisêu và phái Xađốc.,Các binh lính canh đền thờ,Các cô gái điếm và,hững người thu thuế.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Cái gì đã đặt sát gốc cây: bất cứ cây nào không sinh quả tốt đều bị chặt đi và quăng vào lửa? (Mt 3,10)",Cái cưa.,Cái cuốc.,Cái búa.,Cái rìu.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu từ miền nào đến sông Giođan, gặp ông Gioan để xin ông làm phép rửa cho mình? (Mt 3,13)",Miền Galilê.,Miền Samari,Miền Giuda.,Miền Thập tỉnh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ai đã làm phép rửa cho Chúa Giêsu ? (Mt 3,13)",Ông Giuse.,Ông Nicôđemô.,Ông Gioan Tẩy Giả.,Ông Dacaria.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi Đức Giêsu chịu phép rửa xong, vừa ở dưới nước lên, thì điều gì đã xảy ra? (Mt 3,16)",Các ngôi sao xuất hiện.,Trời đất rung chuyển.,Các tầng trời mở ra.,Mặt trời mặt trăng cùng xuất hiện.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi ở dưới nước lên, thì các tầng trời mở ra... . Và có tiếng từ trời phán thế nào ? (Mt 3,16-17)","“Đây là Con yêu dấu của Ta, hãy vâng nghe Lời Người”","“Đây là Con yêu dấu của Ta, Ta hài lòng về Người.”","“Đây là Người Ta sai đến, hãy vâng nghe Lời Người”","“Con là Con của Cha, ngày hôm nay Cha đã sinh ra Con”",B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu được ai dẫn vào hoang địa, để chịu quỷ cám dỗ? (Mt 4,1)",Ma quỉ.,Ông Gioan Tẩy Giả.,Chúa Cha.,Thần Khí.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu ăn chay ròng rã trong hoang địa bao nhiêu đêm ngày? (Mt 4,2)",Bốn mươi đêm ngày.,Ba mươi đêm ngày.,Mười hai ngày đêm.,Bốn mươi năm.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Đã có lời chép rằng: Người ta sống không chỉ nhờ cơm bánh, ....” (Mt 4,4)",Nhưng còn nhờ thần lương Chúa ban tặng.,Nhưng còn nhờ mọi lời miệng Thiên Chúa phán ra.,Nhưng còn nhờ ân sủng Thiên Chúa ban.,Nhưng còn nhờ Lề luật.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Nếu ông là Con Thiên Chúa, thì gieo mình xuống đi! Vì đã có lời chép rằng: Thiên Chúa sẽ truyền cho thiên sứ lo cho bạn, và thiên sứ sẽ tay đỡ tay nâng, ... ... ... .” (Mt 4,5)",Cho bạn khỏi vấp chân vào đá.,Cho bạn được an toàn.,Cho bạn khỏi thẹn thùng xấu hổ.,Giữ gìn bạn trên khắp nẻo đường.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Xa-tan kia, xéo đi! Vì đã có lời chép rằng: Ngươi phải bái lạy Đức Chúa là Thiên Chúa của ngươi, và ... ... ... .”  (Mt 4,9)",Phải thờ phượng một mình Người mà thôi.,Phải yêu mến Người kết lòng hết trí khôn.,Phải kính sợ Thiên Chúa ngươi thờ.,Phải cầu xin Người tha thứ.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những môn đệ đầu tiên được Chúa Giêsu kêu gọi tại đâu? (Mt 4,18)",Tại núi cao.,Tại sông Giodan.,Tại biển hồ Galilê.,Tại bờ sông Giodan.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Người được Chúa Giêsu kêu gọi đầu tiên là ai? (Mt 4,18)",Ông Phao-lô.,Ông Simôn.,Ông Gioan Tẩy Giả.,Ông Lêvi.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Anrê làm nghề gì? (Mt 4,18)",Nghề đánh cá.,Nghề mộc.,Nghề thu thuế.,Nghề trồng nho.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Các anh hãy theo tôi, tôi sẽ làm cho các anh ... ... ... ."" (Mt 4,19)",Thành những kẻ lưới người như lưới cá.,Thành những người tài giỏi.,Thành những môn đệ thừa sai.,Thành những nhà truyền giáo.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Thân phụ của ông Gioan là ai? (Mt 4,21)",Ông Dêbêđê.,Ông Barnaba.,Ông Anphê.,Ông Simon.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Những người con của ông Dêbêđê là ai? (Mt 4,21)",Ông Philipphê và Nathanaen,Ông Giuđa và Giuse,Ông Giacôbê và ông Gioan.,Giacóp và Esau,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Ông Gioan làm nghề gì? (Mt 4,21)",Nghề đánh cá.,Nghề thu thuế.,Nghề thợ mộc.,Nghề chăn cừu.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu kêu gọi ông Giacôbê và ông Gioan khi 2 ông đang làm gì? (Mt 4,21)",Đang chăn chiên ngoài đồng.,Đang vá lưới ở trong thuyền.,Đang ở xưởng mộc.,Đang ngồi thu thuế.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai có tâm hồn nghèo khó, vì ... ... ... .” (Mt 5,3)",Nước Trời là của họ.,Sẽ được đất hứa làm gia nghiệp.,Nước Trời làm phần thưởng.,Sự sống đời đời.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai hiền lành, vì ... ... ... .” (Mt 5,4)",Họ sẽ được hưởng Nước Trời.,Họ sẽ được Đất Hứa làm gia nghiệp.,Họ sẽ được gọi là con Thiên Chúa.,Họ sẽ được nhìn thấy Thiên Chúa.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai sầu khổ, vì ... ... ... .” (Mt 5,5)",Họ sẽ được Đất hứa làm gia nghiệp.,Họ sẽ được Thiên Chúa xót thương.,Họ sẽ được Thiên Chúa ủi an.,Họ sẽ được gọi là con Thiên Chúa.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai khát khao nên người công chính, vì ... ... ... .” (Mt 5,6)",Họ sẽ được nên công chính.,Họ sẽ được gọi là con Thiên Chúa.,Họ sẽ được Nước Trời làm gia nghiệp.,Họ sẽ được Thiên Chúa cho thoả lòng.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai xót thương người, vì ... ... ... .” (Mt 5,7)",Họ sẽ được Thiên Chúa tha thứ.,Họ sẽ được Thiên Chúa chúc lành.,Họ sẽ được Thiên Chúa xót thương.,Họ sẽ được tha thứ mọi tội lỗi.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai có tâm hồn trong sạch, vì  ... ... ... .” (Mt 5,8)",Họ sẽ được nhìn thấy Thiên Chúa.,Họ sẽ được nhìn thấy các thiên thần.,Họ sẽ giống các thiên thần.,Họ sẽ được nên thánh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai xây dựng hoà bình, vì ... ... ... .” (Mt 5,9)",Họ sẽ được Đất Hứa làm gia nghiệp.,Họ sẽ được gọi là sứ giả của Thiên Chúa.,Họ sẽ được Thiên Chúa thưởng công.,Họ sẽ được gọi là con Thiên Chúa.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay ai bị bách hại vì sống công chính, vì ... ... ... .” (Mt 5,10)",Nước Trời làm phần thưởng.,Đất hứa làm gia nghiệp.,Họ sẽ được sự sống đời đời.,Nước Trời là của họ.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Phúc thay anh em khi vì Thầy mà bị người ta sỉ vả, bách hại và vu khống đủ điều xấu xa. Anh em hãy vui mừng hớn hở, vì ... ... ... .” (Mt 5,11-12a)",Phần thưởng dành cho anh em ở trên trời thật lớn lao.,Phần thưởng dành cho anh em là hào quang chiến thắng.,Anh em sẽ được phúc tử đạo.,Anh em sẽ được phục sinh vinh hiển.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Chính anh em là muối cho đời. Nhưng muối mà nhạt đi, thì lấy gì muối nó cho mặn lại? Nó đã thành vô dụng, thì ... ... ... .” (Mt 5,13)",Chỉ còn việc đổ đi cho người ta chà đạp.,Chỉ còn việc quăng ra ngoài cho người ta chà đạp thôi.,Chỉ còn việc đốt đi.,Chỉ còn việc quăng ra chỗ tối tăm.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Anh em là ánh sáng cho ai? (Mt 5,14)",Cho trần gian.,Cho mọi người.,Cho dân ngoại.,Cho người tội lỗi.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Ánh sáng của anh em phải chiếu giãi trước mặt thiên hạ, để họ thấy những công việc tốt đẹp anh em làm, mà  ... ... ... .” (Mt 5,16)","Tôn vinh Thiên Chúa của anh em, Đấng ngự trên trời.","Tôn vinh Cha của anh em, Đấng ngự trên trời.","Nhận biết Cha của anh em, Đấng ngự trên trời.","Chúc tụng Thiên Chúa, Đấng ngự trên Trời.",B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đừng tưởng Thầy đến để bãi bỏ Luật Môsê hoặc lời các ngôn sứ. Thầy đến không phải là để bãi bỏ,  ... ... ... .” (Mt 5,17)",Nhưng là để kiện toàn.,Nhưng là để hoàn thiện lề luật.,Nhưng là để đổi mới cho phù hợp.,Nhưng là để cứu giúp con người.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Vậy ai bãi bỏ dù chỉ là một trong những điều răn nhỏ nhất ấy, và dạy người ta làm như thế, thì ... ... ... .” (Mt 5,19)","Sẽ bị coi là kẻ xấu xa, chống lại Thiên Chúa.",Sẽ bị gọi là kẻ nhỏ nhất trong Nước Trời.,Sẽ bị gọi là kẻ đáng bị nguyền rủa.,Bị coi là kẻ chống lại Thiên Chúa.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Chúa Giêsu bảo cho anh em biết, nếu anh em không ăn ở công chính hơn ai, thì sẽ chẳng được vào Nước Trời? (Mt 5,20)",Các biệt phái và Sađốc.,Các kinh sư và người Pharisêu.,Các người thu thuế và cô gái điếm.,Các môn đệ và những người theo Chúa.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đã nghe Luật dạy người xưa rằng: Chớ giết người; ai giết người, thì ... ... ... .” (Mt 5,21)",Đáng bị xét xử.,Đángg bị trừng phạt.,Đáng bị đưa ra toà.,Đáng bị sa hoả ngục.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Ai giận anh em mình, thì đáng bị đưa ra toà. Ai mắng anh em mình là đồ ngốc, thì đáng bị đưa ra trước Thượng Hội Đồng. Còn ai chửi anh em mình là quân phản đạo, thì ... ... ... .” (Mt 5,22)",Đáng bị lửa hoả ngục thiêu đốt.,Đáng bị giam nơi tối tăm.,"Đáng bị tống ra ngoài, nơi lửa không hề tắt.",Đáng sa hoả ngục.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Nếu khi anh sắp dâng lễ vật trước bàn thờ, mà sực nhớ có người anh em đang có chuyện bất bình với anh, thì hãy để của lễ lại đó trước bàn thờ, đi làm hoà với người anh em ấy đã, ... ... ... .” (Mt 5,23-24)",Rồi trở lại làm hoà với Thiên Chúa.,Để của lễ của anh em được chấp nhận.,Để làm đẹp lòng Thiên Chúa.,Rồi trở lại dâng lễ vật của mình.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đã nghe Luật dạy rằng: Chớ ngoại tình. Còn Thầy, Thầy bảo cho anh em biết: ai nhìn người phụ nữ mà thèm muốn, thì ... ... ... .” (Mt 5,27)",Trong lòng đã ngoại tình với người ấy rồi.,Anh em sẽ bị ném đá.,Trong lòng đáng bị chúc dữ rồi.,Trong lòng đã không còn trong sạch.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Nếu mắt phải của anh làm cớ cho anh sa ngã, thì hãy móc mà ném đi; vì thà mất một phần thân thể, ... ... ... .” (Mt 5,29)",Còn hơn là toàn thân bị ném vào hoả ngục.,Còn hơn là bị mọi người chê cười.,Còn hơn là bị đưa ra toà.,Còn hơn là bị tiêu diệt.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Nếu tay phải của anh làm cớ cho anh sa ngã, thì hãy chặt mà ném đi; vì thà mất một phần thân thể, ... ... ... .” (Mt 5,30)",Còn hơn là toàn thân phải sa hoả ngục.,Còn hơn là bị tống ngục.,Còn hơn là bị cụt tay.,Còn hơn là mất phúc Thiên đàng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Luật còn dạy rằng: Ai rẫy vợ, thì phải cho vợ chứng thư ly dị. Còn Thầy, Thầy bảo cho anh em biết: ngoại trừ trường hợp hôn nhân bất hợp pháp, ai rẫy vợ là đẩy vợ đến chỗ ngoại tình; và ai cưới người đàn bà bị rẫy, thì ... ... ... .” (Mt 5,31-32)",Cũng phạm tội ngoại tình.,Cũng bị kết án.,Cũng hợp pháp.,Cũng bị coi là bất hợp pháp.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em còn nghe Luật dạy người xưa rằng: Chớ bội thề, nhưng hãy trọn lời thề với Đức Chúa. Còn Thầy, Thầy bảo cho anh em biết: ... ... ... .” (Mt 5,33-34a)",Đừng thề thì hơn.,Đừng bội thề với Chúa.,Đừng bao giờ thề thốt.,Đừng thề chi cả.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Đừng chỉ trời mà thề, ... ... ... .” (Mt 5,34b)",Vì trời là ngai Thiên Chúa.,Vì trời là nơi Thiên Chúa ngự.,Vì trời là do Chúa tạo dựng nên.,Vì đó là điều Thiên Chúa cấm.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Đừng chỉ đất mà thề, vì ... ... ... .” (Mt 5,35)",Đất là bệ dưới chân Người.,Đất là nhà Thiên Chúa ngự,Đất là chỗ con người ở.,Đất là do Chúa dựng nên.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Đừng chỉ Giêrusalem mà thề, vì ... ... ... .” (Mt 5,35)",Đó là thành của Đức Vua cao cả.,Đó là đền thờ Thiên Chúa ngự.,Đó là thành thánh của Thiên Chúa.,Đó là Kinh Đô của Dân Thánh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đã nghe Luật dạy rằng: Mắt đền mắt, răng đền răng. Còn Thầy, Thầy bảo anh em: đừng chống cự người ác, trái lại, nếu bị ai vả má bên phải, thì ... ... ... .”  (Mt 5,38-39)",Hãy giơ cả mặt ra nữa.,Hãy che má trái lại.,Hãy giơ cả hai tay lên.,Hãy giơ cả má bên trái ra nữa.,D,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Nếu ai muốn kiện anh để lấy áo trong của anh, thì ... ... ... .” (Mt 5,40)",Hãy để cho nó lấy cả áo ngoài.,Hãy để cho nó lấy cả dép.,Hãy ngăn chặn nó.,Đừng ngăn chặn nó.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Nếu có người bắt anh đi một dặm, thì hãy đi với người ấy hai dặm. Ai xin, thì hãy cho; ai muốn vay mượn, thì ... ... ... .” (Mt 5,41-42)",Đừng ngoảnh mặt đi.,Đừng ngoảnh mặt lại.,Đừng nhìn vào nó.,Đừng cho nó mượn.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em đã nghe Luật dạy rằng: Hãy yêu đồng loại và hãy ghét kẻ thù. Còn Thầy, Thầy bảo anh em: hãy yêu kẻ thù và ... ... ... .” (Mt 5,43-44)",Cầu nguyện cho những kẻ giúp đỡ anh em.,Cầu nguyện cho những kẻ ngược đãi anh em.,Giúp đỡ kẻ ngược đãi anh em..,Cầu nguyện cho kẻ gây hoạ cho anh em.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em hãy nên hoàn thiện, như Cha anh em trên trời là ... ... ... .” (Mt 5,48)",Đấng yêu thương.,Đấng hoàn thiện.,Đấng Toàn năng,Đấng công chính.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Khi làm việc lành phúc đức, anh em phải coi chừng, chớ có phô trương cho thiên hạ thấy. Bằng không, anh em sẽ chẳng được Cha của anh em, Đấng ngự trên trời,... ... ... .” (Mt 6,1)",Yêu mến.,Ban thưởng.,Trao thưởng xứng đáng.,Ban cho anh em phần thưởng.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Còn anh, khi bố thí, đừng cho tay trái biết việc tay phải làm, để việc anh bố thí được kín đáo. Và Cha của anh, Đấng thấu suốt những gì kín đáo, ... ... ... .” (Mt 6,3-4)",Sẽ trả lại cho anh.,Sẽ hoàn lại cho anh.,Sẽ thưởng công cho anh.,Sẽ chúc lành cho anh.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi cầu nguyện, anh em đừng làm như bọn đạo đức giả: chúng thích đứng cầu nguyện ở đâu cho người ta thấy? (Mt 6,5)","Trong các hội đường, hoặc ngoài các ngã ba ngã tư.",Trong đền thờ Giêrusalem và Hội đường.,Trong Đền Thờ và ngoài chợ,Trong hoang địa và nơi thanh vắng,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Còn anh, khi cầu nguyện, hãy vào phòng, đóng cửa lại, và cầu nguyện cùng Cha của anh, Đấng hiện diện nơi kín đáo. Và Cha của anh, Đấng thấu suốt những gì kín đáo,  ... ... ... .” (Mt 6,6)",Sẽ chúc lành cho anh em.,Sẽ tha thứ tội lỗi cho anh em.,Sẽ trả lại cho anh.,Sẽ cứu chuộc anh em.,C,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Khi cầu nguyện, anh em đừng lải nhải như ai? (Mt 6,7)",Như dân ngoại.,Như bọn đạo đức giả.,Như những người Pharisieu.,Như dân chúng.,A,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
"Hãy hoàn thành câu : “Anh em hãy cầu nguyện như thế này: “Lạy Cha chúng con là Đấng ngự trên trời, xin làm cho danh thánh Cha vinh hiển, triều đại Cha mau đến, ... ... ... .” (Mt 6,9-10)",Nước Cha vinh hiển.,Ý Cha thể hiện dưới đất cũng như trên trời.,Danh thánh Cha được tôn vinh.,Mọi nước qui phục dưới chân Người.,B,Đáp án đúng theo tài liệu Tin Mừng Mát-thêu.
